,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,genres1
510475,tt11718294,tvMiniSeries,Win the Wilderness: Alaska,Win the Wilderness: Alaska,0,2020,60,"Adventure,Documentary,Game-Show",7.0,529,Adventure
379775,tt0796056,tvEpisode,Take Your Daughter to Work Day,Take Your Daughter to Work Day,0,2006,22,"Adventure,Crime,Reality-TV",6.8,8,Adventure
506048,tt1160704,movie,"Alieno, l'uomo del futuro","Alieno, l'uomo del futuro",0,2007,94,Drama,3.5,15,Drama
562185,tt1321383,short,Fishermen and Boat at Port Said,Fishermen and Boat at Port Said,0,1897,1,"Documentary,Short",4.9,72,Documentary
383851,tt0809009,tvEpisode,Cry Uncle,Cry Uncle,0,1987,21,"Action,Animation,Comedy",7.3,52,Action
1010240,tt7371014,tvEpisode,The Real Braveheart,The Real Braveheart,0,2016,43,Documentary,7.3,6,Documentary
1076186,tt9136156,short,Ada Kaleh,Ada Kaleh,0,2018,14,Short,5.5,30,Short
195313,tt0347528,video,Memories from the Sweet Sue's,Memories from the Sweet Sue's,0,2001,12,Short,6.1,39,Short
966720,tt6422680,tvSeries,Mysteries of the Unexplained,Mysteries of the Unexplained,0,2017,30,Sci-Fi,8.0,14,Sci-Fi
207093,tt0375446,tvSeries,7de Laan,7de Laan,0,2000,30,"Drama,Family,Romance",5.4,104,Drama
507397,tt11646800,video,We All Poop: All the Blood,We All Poop: All the Blood,0,2020,3,"Music,Mystery,Short",9.8,16,Music
730340,tt2390320,tvEpisode,Another Saturday Night,Another Saturday Night,0,2012,22,Comedy,6.7,38,Comedy
587690,tt1443258,tvEpisode,One Million Years Before Lunch/Where's the Werewolf?/Up a Crazy River/The Puppy's Amazon Adventure,One Million Years Before Lunch/Where's the Werewolf?/Up a Crazy River/The Puppy's Amazon Adventure,0,1982,60,"Animation,Comedy,Family",7.4,8,Animation
266658,tt0519151,tvEpisode,Vanished: Part 1,Vanished: Part 1,0,1980,25,"Comedy,Drama",8.5,59,Comedy
589267,tt1453148,tvEpisode,Nitro Winter Wonderland,Nitro Winter Wonderland,0,2009,22,"Action,Comedy,Reality-TV",7.6,15,Action
616844,tt1601930,short,Whispers,Whispers,0,2010,31,"Horror,Short,Thriller",9.8,13,Horror
807766,tt3590676,tvEpisode,Bounce,Bounce,0,2014,22,Comedy,8.3,30,Comedy
238470,tt0449601,video,How-to-Do Girls: Bikini Calculus,How-to-Do Girls: Bikini Calculus,0,2004,50,Comedy,7.4,8,Comedy
2186,tt0008195,movie,The Little Pirate,The Little Pirate,0,1917,50,"Adventure,Family",4.0,6,Adventure
330207,tt0664550,tvEpisode,Business and Romance,Business and Romance,0,2000,22,Comedy,9.8,45,Comedy
744418,tt2577388,tvSeries,Shuga,Shuga,0,2009,24,Drama,6.8,80,Drama
913710,tt5495242,tvSeries,Da dragi da draga,Da dragi da draga,0,2016,25,Comedy,7.1,14,Comedy
33297,tt0054444,movie,El violetero,El violetero,0,1960,83,Comedy,7.3,52,Comedy
512037,tt1175707,tvSeries,Baby Dance,Baby Dance,0,2008,45,Game-Show,3.3,7,Game-Show
